fonte,titulo,tipo_arquivo,url_download,status_code,ativo,tamanho_kb,content_type,erro,verificado_em
ABDI,Execução Orçamentária - Receita - 2026 ,csv,https://transparencia.abdi.com.br/Documents/Dicionarios/Execucao_Orcamentaria_Receita_2026.csv,200.0,True,1.31,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Receita - 2025 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Receita_2025.CSV,200.0,True,1.29,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Receita - Retificado - 2024 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Receita_Retificado_2024.CSV,200.0,True,1.0,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Receita - 2024 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Receita_2024.CSV,200.0,True,2.59,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Receita - 2023 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Receita_2023.CSV,200.0,True,2.64,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Receita - 2022 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Receita_2022.CSV,200.0,True,2.76,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Receita x Despesa - 2026 ,csv,https://transparencia.abdi.com.br/Documents/Dicionarios/Execucao_Orcamentaria_Receita_x_Despesa_2026.csv,200.0,True,0.66,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Receita x Despesa - 2025,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Receita_x_Despesa_2025.csv,200.0,True,0.52,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Receita x Despesa - Retificado - 2024 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Receita_x_Despesa_Retificado_2024.CSV,200.0,True,0.56,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Receita x Despesa - 2024 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Receita_x_Despesa_2024.CSV,200.0,True,1.49,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Receita x Despesa - 2023 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Receita_x_Despesa_2023.CSV,200.0,True,1.15,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Receita x Despesa - 2022 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Receita_x_Despesa_2022.CSV,200.0,True,1.33,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Resultados Financeiros - 2026,csv,https://transparencia.abdi.com.br/Documents/Dicionarios/Execucao_Orcamentaria_Resultados_Financeiros_2026.csv,200.0,True,0.35,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Resultados Financeiros - 2025,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Resultados_Financeiros_2025.CSV,200.0,True,0.16,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Resultados Financeiros - Retificado - 2024 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Resultados_Financeiros_Retificado_2024.CSV,200.0,True,0.11,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Resultados Financeiros - 2024 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Resultados_Financeiros_2024.CSV,200.0,True,0.34,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Resultados Financeiros - 2023 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Resultados_Financeiros_2023.CSV,200.0,True,0.29,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Resultados Financeiros - 2022 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Resultados_Financeiros_2022.CSV,200.0,True,0.27,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Resumo - 2026 ,csv,https://transparencia.abdi.com.br/Documents/Dicionarios/Execucao_Orcamentaria_Resumo_2026.csv,200.0,True,0.62,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Resumo - 2025 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Resumo_2025.CSV,200.0,True,0.51,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Resumo - Retificado - 2024 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Resumo_Retificado_2024.CSV,200.0,True,0.46,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Resumo - 2024 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Resumo_2024.CSV,200.0,True,0.77,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Resumo - 2023 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Resumo_2023.CSV,200.0,True,0.7,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Resumo - 2022 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Resumo_2022.CSV,200.0,True,0.8,application/octet-stream,,2026-07-21 09:47:27
